rank,name,name_url,team,team_url,salary
1,Stephen Curry,https://www.espn.com/nba/player/_/id/3975/stephen-curry,Golden State Warriors,https://www.espn.com/nba/team/_/name/gs/golden-state-warriors,"$48,070,014"
2,LeBron James,https://www.espn.com/nba/player/_/id/1966/lebron-james,Los Angeles Lakers,https://www.espn.com/nba/team/_/name/lal/los-angeles-lakers,"$44,474,988"
3,Kevin Durant,https://www.espn.com/nba/player/_/id/3202/kevin-durant,Phoenix Suns,https://www.espn.com/nba/team/_/name/phx/phoenix-suns,"$44,119,845"
4,Bradley Beal,https://www.espn.com/nba/player/_/id/6580/bradley-beal,Washington Wizards,https://www.espn.com/nba/team/_/name/wsh/washington-wizards,"$43,279,250"
5,Damian Lillard,https://www.espn.com/nba/player/_/id/6606/damian-lillard,Portland Trail Blazers,https://www.espn.com/nba/team/_/name/por/portland-trail-blazers,"$42,492,492"
6,Giannis Antetokounmpo,https://www.espn.com/nba/player/_/id/3032977/giannis-antetokounmpo,Milwaukee Bucks,https://www.espn.com/nba/team/_/name/mil/milwaukee-bucks,"$42,492,492"
7,Kawhi Leonard,https://www.espn.com/nba/player/_/id/6450/kawhi-leonard,LA Clippers,https://www.espn.com/nba/team/_/name/lac/la-clippers,"$42,492,492"
8,Paul George,https://www.espn.com/nba/player/_/id/4251/paul-george,LA Clippers,https://www.espn.com/nba/team/_/name/lac/la-clippers,"$42,492,492"
9,Klay Thompson,https://www.espn.com/nba/player/_/id/6475/klay-thompson,Golden State Warriors,https://www.espn.com/nba/team/_/name/gs/golden-state-warriors,"$40,600,080"
10,Kyrie Irving,https://www.espn.com/nba/player/_/id/6442/kyrie-irving,Dallas Mavericks,https://www.espn.com/nba/team/_/name/dal/dallas-mavericks,"$38,917,057"
11,Rudy Gobert,https://www.espn.com/nba/player/_/id/3032976/rudy-gobert,Minnesota Timberwolves,https://www.espn.com/nba/team/_/name/min/minnesota-timberwolves,"$38,172,414"
12,Anthony Davis,https://www.espn.com/nba/player/_/id/6583/anthony-davis,Los Angeles Lakers,https://www.espn.com/nba/team/_/name/lal/los-angeles-lakers,"$37,980,720"
13,Khris Middleton,https://www.espn.com/nba/player/_/id/6609/khris-middleton,Milwaukee Bucks,https://www.espn.com/nba/team/_/name/mil/milwaukee-bucks,"$37,948,276"
14,Jimmy Butler,https://www.espn.com/nba/player/_/id/6430/jimmy-butler,Miami Heat,https://www.espn.com/nba/team/_/name/mia/miami-heat,"$37,653,300"
15,Tobias Harris,https://www.espn.com/nba/player/_/id/6440/tobias-harris,Philadelphia 76ers,https://www.espn.com/nba/team/_/name/phi/philadelphia-76ers,"$37,633,050"
16,Zach LaVine,https://www.espn.com/nba/player/_/id/3064440/zach-lavine,Chicago Bulls,https://www.espn.com/nba/team/_/name/chi/chicago-bulls,"$37,096,500"
17,Luka Doncic,https://www.espn.com/nba/player/_/id/3945274/luka-doncic,Dallas Mavericks,https://www.espn.com/nba/team/_/name/dal/dallas-mavericks,"$37,095,000"
18,Trae Young,https://www.espn.com/nba/player/_/id/4277905/trae-young,Atlanta Hawks,https://www.espn.com/nba/team/_/name/atl/atlanta-hawks,"$37,095,000"
19,Pascal Siakam,https://www.espn.com/nba/player/_/id/3149673/pascal-siakam,Toronto Raptors,https://www.espn.com/nba/team/_/name/tor/toronto-raptors,"$35,448,672"
20,Ben Simmons,https://www.espn.com/nba/player/_/id/3907387/ben-simmons,Brooklyn Nets,https://www.espn.com/nba/team/_/name/bkn/brooklyn-nets,"$35,448,672"
21,Myles Turner,https://www.espn.com/nba/player/_/id/3133628/myles-turner,Indiana Pacers,https://www.espn.com/nba/team/_/name/ind/indiana-pacers,"$35,096,500"
22,Devin Booker,https://www.espn.com/nba/player/_/id/3136193/devin-booker,Phoenix Suns,https://www.espn.com/nba/team/_/name/phx/phoenix-suns,"$33,833,400"
23,Karl-Anthony Towns,https://www.espn.com/nba/player/_/id/3136195/karl-anthony-towns,Minnesota Timberwolves,https://www.espn.com/nba/team/_/name/min/minnesota-timberwolves,"$33,833,400"
24,Kristaps Porzingis,https://www.espn.com/nba/player/_/id/3102531/kristaps-porzingis,Washington Wizards,https://www.espn.com/nba/team/_/name/wsh/washington-wizards,"$33,833,400"
25,Jrue Holiday,https://www.espn.com/nba/player/_/id/3995/jrue-holiday,Milwaukee Bucks,https://www.espn.com/nba/team/_/name/mil/milwaukee-bucks,"$33,665,040"
