id,season,Team,GP,GS,MIN,FG,FG%,3PT,3P%,FT,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
2595516,2016-17,TOR,76,18,18.0,3.0-6.7,44.9,0.7-2.3,32.4,1.7-2.1,79.2,0.3,1.9,2.2,1.1,0.2,0.7,1.7,0.9,8.4
2595516,2017-18,TOR,70,18,15.2,2.1-5.3,40.1,0.8-2.7,28.5,0.5-0.6,82.1,0.2,1.5,1.7,1.3,0.2,0.5,1.6,0.9,5.5
2595516,2018-19,TOR,60,3,18.8,3.2-6.7,48.3,1.1-2.8,40.0,1.0-1.3,82.7,0.3,2.1,2.3,1.5,0.2,0.7,1.6,1.1,8.6
2595516,2019-20,TOR,52,26,28.4,5.7-11.5,49.5,2.1-5.3,39.9,2.5-2.9,84.3,0.5,3.2,3.7,1.8,0.4,1.2,2.1,1.5,16.0
2595516,2020-21,TOR,42,32,30.4,6.7-13.5,49.8,2.8-6.4,43.9,3.4-3.9,86.5,0.5,2.5,3.0,1.8,0.2,1.1,2.3,1.8,19.6
2595516,2020-21,POR,27,27,34.4,5.8-13.0,44.3,2.0-5.4,36.1,3.5-4.0,88.0,0.9,2.4,3.3,1.9,0.4,1.3,2.3,1.6,17.0
2595516,2021-22,POR,40,39,33.3,6.2-13.6,45.6,2.3-5.7,40.6,4.0-5.0,80.3,0.4,2.9,3.3,2.1,0.4,1.0,2.3,1.6,18.7
2595516,2021-22,LAC,5,2,25.0,6.4-12.6,50.8,2.6-4.8,54.2,6.0-7.0,85.7,0.6,2.2,2.8,2.8,0.8,0.4,2.8,1.4,21.4
2595516,2022-23,LAC,60,8,26.1,5.7-11.8,47.9,1.9-4.8,39.7,3.8-4.6,81.2,0.4,2.5,2.9,1.8,0.3,0.8,2.1,1.7,17.0
3907497,2016-17,SA,38,8,8.5,1.3-3.1,43.1,0.2-0.6,39.1,0.6-0.8,70.0,0.2,0.9,1.1,1.3,0.2,0.2,0.8,1.0,3.4
3907497,2017-18,SA,81,48,21.5,3.3-7.5,44.3,0.1-0.4,26.5,1.3-1.8,70.9,1.4,4.3,5.7,2.9,0.4,1.2,1.9,1.7,8.1
3907497,2019-20,SA,66,58,25.6,4.5-9.7,46.2,0.6-1.7,36.9,1.4-1.7,79.8,1.0,4.8,5.8,4.1,0.3,1.7,2.2,1.9,10.9
3907497,2020-21,SA,67,67,31.9,6.6-14.5,45.3,0.9-3.0,31.7,1.6-2.0,79.1,0.9,6.2,7.1,5.4,0.1,1.5,2.0,1.7,15.7
3907497,2021-22,SA,68,68,34.8,8.4-18.3,46.2,1.4-4.3,32.7,2.9-3.6,79.4,1.2,7.1,8.3,9.2,0.3,2.0,2.0,2.6,21.1
3907497,2022-23,ATL,74,74,36.4,8.3-17.8,46.4,1.8-5.2,34.4,2.1-2.6,83.2,0.7,4.5,5.3,6.1,0.3,1.5,1.4,2.2,20.5
4277811,2018-19,CLE,82,72,31.8,6.3-14.7,43.0,1.5-3.6,40.2,2.6-3.1,83.9,0.7,2.2,2.9,3.0,0.1,0.5,2.3,2.3,16.7
4277811,2019-20,CLE,65,65,33.0,7.9-16.7,47.2,1.5-3.9,38.0,3.5-4.1,84.6,0.9,2.2,3.1,3.0,0.1,1.0,2.2,2.4,20.8
4277811,2020-21,CLE,60,60,35.3,8.8-18.4,47.5,1.6-4.4,37.1,5.2-6.4,81.5,1.0,2.2,3.1,4.4,0.2,1.0,2.6,2.8,24.3
4277811,2021-22,CLE,11,11,28.7,6.2-13.7,45.0,1.0-4.1,24.4,2.6-3.5,74.4,1.2,2.1,3.3,2.1,0.0,0.9,2.3,2.8,16.0
4277811,2022-23,UTAH,48,15,23.9,4.9-9.8,50.6,1.0-2.5,39.3,3.4-4.1,81.9,0.8,1.4,2.2,2.9,0.1,0.6,2.3,1.8,14.3
4066636,2017-18,PHI,14,0,18.1,3.2-7.9,40.5,0.0-0.1,0.0,0.7-1.5,47.6,0.8,2.3,3.1,3.8,0.3,0.9,1.6,1.2,7.1
4066636,2018-19,PHI,19,15,22.5,3.4-8.2,41.9,0.2-0.7,28.6,1.1-1.9,56.8,1.4,2.3,3.7,3.1,0.3,0.9,2.7,1.3,8.2
4066636,2019-20,ORL,72,60,27.7,5.0-10.7,46.5,0.5-1.9,26.7,1.6-2.2,73.0,0.6,2.7,3.3,5.1,0.2,1.3,2.0,2.0,12.1
4066636,2020-21,ORL,8,8,26.9,5.1-13.0,39.4,0.5-2.0,25.0,2.1-2.4,89.5,0.6,2.5,3.1,5.4,0.3,1.0,2.3,2.3,12.9
4066636,2021-22,ORL,18,3,20.0,4.6-9.7,47.4,0.2-0.9,23.5,1.4-1.7,80.6,0.2,2.5,2.7,5.5,0.3,1.1,1.2,2.2,10.8
4066636,2022-23,ORL,60,60,29.6,5.8-11.3,51.4,0.5-1.5,31.0,1.9-2.4,78.3,1.2,2.8,3.9,5.7,0.4,1.5,2.2,2.3,14.0
4066336,2017-18,CHI,68,68,29.7,5.5-12.7,43.4,2.1-5.9,36.2,2.1-2.4,84.3,1.2,6.3,7.5,1.2,0.6,0.6,1.5,1.2,15.2
4066336,2018-19,CHI,52,51,32.3,6.6-15.3,43.0,2.3-6.4,36.1,3.3-3.8,87.2,1.4,7.6,9.0,1.4,0.6,0.7,2.3,1.6,18.7
4066336,2019-20,CHI,50,50,29.8,5.0-11.8,42.5,2.2-6.3,34.4,2.5-3.1,82.4,1.2,5.1,6.3,1.5,0.5,0.8,1.9,1.6,14.7
4066336,2020-21,CHI,51,26,25.8,4.9-10.2,48.0,2.3-5.8,40.2,1.5-1.8,82.6,0.7,4.6,5.3,0.9,0.3,0.5,1.5,1.0,13.6
