id,name,rank,salary,url
2968439,Aron Baynes,171,7350000.0,https://www.espn.com/nba/player/_/id/2968439/aron-baynes
4066650,Zach Collins,172,7350000.0,https://www.espn.com/nba/player/_/id/4066650/zach-collins
4433218,Jaden Ivey,173,7252200.0,https://www.espn.com/nba/player/_/id/4433218/jaden-ivey
3136777,Jae'Sean Tate,174,7065217.0,https://www.espn.com/nba/player/_/id/3136777/jae'sean-tate
4432822,Isaac Okoro,175,7040880.0,https://www.espn.com/nba/player/_/id/4432822/isaac-okoro
3138161,Cody Martin,176,7000000.0,https://www.espn.com/nba/player/_/id/3138161/cody-martin
4432165,Jalen Suggs,177,6922320.0,https://www.espn.com/nba/player/_/id/4432165/jalen-suggs
4397077,Jaxson Hayes,178,6803012.0,https://www.espn.com/nba/player/_/id/4397077/jaxson-hayes
2578240,Khem Birch,179,6667500.0,https://www.espn.com/nba/player/_/id/2578240/khem-birch
4683634,Bennedict Mathurin,180,6586800.0,https://www.espn.com/nba/player/_/id/4683634/bennedict-mathurin
3428,Danilo Gallinari,181,6479000.0,https://www.espn.com/nba/player/_/id/3428/danilo-gallinari
4004,Patty Mills,182,6479000.0,https://www.espn.com/nba/player/_/id/4004/patty-mills
2968436,Joe Ingles,183,6479000.0,https://www.espn.com/nba/player/_/id/2968436/joe-ingles
3138160,Caleb Martin,184,6479000.0,https://www.espn.com/nba/player/_/id/3138160/caleb-martin
4277890,Lonnie Walker IV,185,6479000.0,https://www.espn.com/nba/player/_/id/4277890/lonnie-walker-iv
4237,John Wall,186,6479000.0,https://www.espn.com/nba/player/_/id/4237/john-wall
4065670,Bruce Brown,187,6479000.0,https://www.espn.com/nba/player/_/id/4065670/bruce-brown
4431680,Onyeka Okongwu,188,6395160.0,https://www.espn.com/nba/player/_/id/4431680/onyeka-okongwu
4277928,Jarrett Culver,189,6395160.0,https://www.espn.com/nba/player/_/id/4277928/jarrett-culver
4871145,Josh Giddey,190,6287280.0,https://www.espn.com/nba/player/_/id/4871145/josh-giddey
4066648,Rui Hachimura,191,6263188.0,https://www.espn.com/nba/player/_/id/4066648/rui-hachimura
3005,Rudy Gay,192,6184500.0,https://www.espn.com/nba/player/_/id/3005/rudy-gay
4914336,Shaedon Sharpe,193,6012960.0,https://www.espn.com/nba/player/_/id/4914336/shaedon-sharpe
2594922,Otto Porter Jr.,194,6000000.0,https://www.espn.com/nba/player/_/id/2594922/otto-porter-jr.
3064230,Cameron Payne,195,6000000.0,https://www.espn.com/nba/player/_/id/3064230/cameron-payne
4395627,Cam Reddish,196,5954454.0,https://www.espn.com/nba/player/_/id/4395627/cam-reddish
3138196,Cameron Johnson,197,5887899.0,https://www.espn.com/nba/player/_/id/3138196/cameron-johnson
4011,Ricky Rubio,198,5853659.0,https://www.espn.com/nba/player/_/id/4011/ricky-rubio
4278075,Kevin Knox II,199,5845979.0,https://www.espn.com/nba/player/_/id/4278075/kevin-knox-ii
4278078,P.J. Washington,200,5808435.0,https://www.espn.com/nba/player/_/id/4278078/p.j.-washington
4433247,Jonathan Kuminga,201,5739860.0,https://www.espn.com/nba/player/_/id/4433247/jonathan-kuminga
2578239,Pat Connaughton,202,5728393.0,https://www.espn.com/nba/player/_/id/2578239/pat-connaughton
4395725,Tyler Herro,203,5722116.0,https://www.espn.com/nba/player/_/id/4395725/tyler-herro
4397008,Romeo Langford,204,5634257.0,https://www.espn.com/nba/player/_/id/4397008/romeo-langford
4683024,Killian Hayes,205,5572680.0,https://www.espn.com/nba/player/_/id/4683024/killian-hayes
4869342,Dyson Daniels,206,5508600.0,https://www.espn.com/nba/player/_/id/4869342/dyson-daniels
3452,JaVale McGee,207,5461219.0,https://www.espn.com/nba/player/_/id/3452/javale-mcgee
4278355,Obi Toppin,208,5348280.0,https://www.espn.com/nba/player/_/id/4278355/obi-toppin
4566434,Franz Wagner,209,5258280.0,https://www.espn.com/nba/player/_/id/4566434/franz-wagner
3056247,Kendrick Nunn,210,5250000.0,https://www.espn.com/nba/player/_/id/3056247/kendrick-nunn
4080610,Hamidou Diallo,211,5200000.0,https://www.espn.com/nba/player/_/id/4080610/hamidou-diallo
6446,Cory Joseph,212,5155500.0,https://www.espn.com/nba/player/_/id/6446/cory-joseph
2528693,Torrey Craig,213,5121951.0,https://www.espn.com/nba/player/_/id/2528693/torrey-craig
4610139,Jeremy Sochan,214,5063520.0,https://www.espn.com/nba/player/_/id/4610139/jeremy-sochan
3062744,David Nwaba,215,5022000.0,https://www.espn.com/nba/player/_/id/3062744/david-nwaba
4278039,Nickeil Alexander-Walker,216,5009633.0,https://www.espn.com/nba/player/_/id/4278039/nickeil-alexander-walker
3929325,Furkan Korkmaz,217,5000000.0,https://www.espn.com/nba/player/_/id/3929325/furkan-korkmaz
3102528,Dante Exum,218,5000000.0,https://www.espn.com/nba/player/_/id/3102528/dante-exum
2799,Lou Williams,219,5000000.0,https://www.espn.com/nba/player/_/id/2799/lou-williams
4683021,Deni Avdija,220,4916160.0,https://www.espn.com/nba/player/_/id/4683021/deni-avdija
4023,Garrett Temple,221,4910000.0,https://www.espn.com/nba/player/_/id/4023/garrett-temple
4278053,Davion Mitchell,222,4833600.0,https://www.espn.com/nba/player/_/id/4278053/davion-mitchell
